codgr;sougr;numlig;nojour;codal
275152;6;19;1;31056
136944;4;11;1;14102
272573;3;32;2;16714
131165;2;2;1;7571
117458;7;32;1;2068
145813;5;19;3;8793
246368;4;15;2;95845
453309;1;22;3;20787
222781;2;12;1;90843
109718;3;32;4;2185
306816;7;31;2;17531
382662;7;1;1;7014
282552;1;20;2;20609
491131;1;43;2;11769
330657;6;9;1;9431
191868;7;3;1;8964
258652;4;1;1;7333
255233;3;32;1;2350
278064;3;8;2;22902
503760;6;31;2;77300
438343;5;35;2;18517
482706;4;10;2;87716
101235;7;1;1;7083
364100;4;19;2;30598
271492;1;30;2;17961
128336;7;34;7;19425
70629;6;30;1;30730
315218;5;32;2;18260
255384;2;31;1;77367
52653;5;31;1;76215
458622;5;1;1;7338
326852;1;41;2;10185
203468;2;29;4;30923
349691;3;2;1;7884
422337;6;3;2;31703
66217;4;10;3;19061
468985;1;35;1;22362
473345;2;23;2;22020
99296;6;38;2;79062
519208;2;19;2;30270
316093;4;22;5;21619
304569;3;32;6;18424
103312;5;32;1;2475
328763;3;1;1;7442
320116;5;22;2;26818
216863;2;1;1;7128
95651;5;31;1;76792
473812;6;10;3;19284
271930;7;31;1;76653
99535;3;2;1;7522
31939;6;21;2;9884
336734;5;9;3;19892
270449;4;9;1;20298
75455;5;1;1;7244
532964;6;30;3;31065
462240;6;31;1;76694
166312;2;29;2;82429
281632;3;21;2;8555
464377;7;34;3;38248
363861;5;1;1;7040
87634;2;2;1;7948
223926;1;19;2;30272
25027;4;12;2;10884
60110;5;1;1;7309
118709;2;8;1;12099
68757;1;30;2;31064
459600;6;2;1;7526
516466;7;39;2;25076
397639;5;21;2;26254
416525;1;18;1;29384
366614;7;21;2;25347
104703;4;39;1;24561
542876;7;31;2;19602
195122;3;10;3;19943
493939;3;2;1;7546
236734;5;23;1;17881
44776;1;39;1;24900
503614;5;16;2;27361
271502;1;21;1;28805
515934;2;1;1;7279
271689;1;39;2;25148
107064;1;32;3;29296
155436;4;9;1;21435
211511;4;22;4;22650
488985;4;8;1;20952
131405;7;41;7;10685
451075;2;23;4;19657
410368;1;20;2;9249
237295;6;22;1;25914
358184;1;39;1;25477
371027;7;36;1;82100
144048;6;22;5;20441
361716;2;1;1;7310
539296;1;32;1;18026
477669;1;30;2;30920
506943;6;10;2;89522
507615;6;33;1;3071
202708;5;2;1;7490
230070;3;43;1;11737
360160;7;11;1;87786
379945;1;30;3;18430
44923;6;4;2;31201
502299;3;10;1;92104
223160;1;30;1;6348
34957;1;22;3;19879
70765;7;31;4;18039
526288;3;22;6;23363
209649;4;39;2;25272
161950;5;31;2;76684
363375;6;39;3;25001
73956;6;9;1;21033
93417;3;2;1;7956
259753;2;34;7;18578
222588;4;18;2;10004
399842;1;31;1;77108
430715;4;8;1;19368
127709;2;42;1;11110
194730;5;9;1;20736
545937;7;39;1;24950
144450;1;31;2;18304
386561;3;19;2;36577
318251;5;38;4;24852
53105;5;37;2;25543
333721;5;7;1;11455
254745;6;2;1;7552
444608;4;39;2;25085
476328;2;31;2;76433
97225;7;2;1;7585
90484;4;32;1;2732
148166;4;43;3;11684
57908;3;10;2;14023
521684;6;34;1;19679
305698;2;1;1;7260
383229;7;8;1;9533
222021;6;33;1;2711
263315;4;1;1;7905
39496;3;35;1;27483
289138;2;23;2;21334
506523;5;8;1;20276
140541;3;2;1;7506
311439;5;33;4;17842
40935;5;38;1;25152
542711;1;23;3;21593
510310;6;22;2;24723
557389;4;22;6;23496
526572;4;19;1;29258
231021;7;43;2;11474
26943;5;1;1;7347
493125;2;9;2;20612
143748;2;35;5;18872
488782;3;9;1;21774
98791;7;40;1;19724
268382;7;38;2;25327
506620;2;1;1;7318
215005;7;25;1;11465
44829;4;22;1;21508
547390;2;22;4;23275
449970;1;39;1;24801
251572;4;39;2;25346
95858;1;36;4;71740
70112;4;1;1;7220
427843;1;1;1;7489
143125;5;39;1;25038
487531;2;39;1;25378
520197;1;22;3;23123
287635;7;1;1;7329
335727;6;32;3;18186
380001;7;32;2;29305
204524;6;21;3;28634
171125;4;14;2;11000
405752;3;23;4;20839
183204;4;4;1;9729
326135;3;28;2;83833
375337;5;32;1;2333
37559;1;10;2;20118
87875;1;31;1;76938
520413;2;8;1;11960
387033;7;17;2;4691
240582;7;22;1;21698
120018;7;32;1;2495
277431;4;43;2;11319
243280;6;9;2;19503
481345;7;37;2;21756
84972;7;31;4;17823
74772;7;21;1;22240
340069;6;8;1;19969
122592;5;41;1;15666
109196;7;32;3;2095
332036;1;32;1;2362
534110;5;33;1;4861
230099;4;33;2;17340
384445;1;8;2;21564
33060;6;11;2;11433
421472;4;23;3;18986
339212;7;32;2;18079
239091;1;43;1;11432
87520;5;39;3;7877
459963;1;1;1;7345
543969;3;31;5;19543
246414;6;33;1;17330
81811;1;2;1;7857
316871;2;13;2;5527
245910;6;2;1;7628
421462;3;27;1;12924
99991;2;31;2;78066
486924;4;39;2;25031
541164;5;21;3;25287
554864;4;33;2;16965
194145;1;32;1;2117
367978;3;30;1;30719
464271;2;31;1;76785
474031;3;2;1;7735
541446;2;30;3;31335
492977;7;10;1;14927
516051;2;33;1;18718
303970;1;34;2;28267
419546;2;32;1;24210
283551;1;2;1;7564
417168;3;22;3;10019
243694;7;32;3;17995
33378;7;23;3;19516
21089;3;22;2;20432
268954;3;39;4;25005
510596;1;1;1;7083
513863;1;32;2;18368
314857;1;15;2;4765
97570;6;9;2;21740
267938;6;2;1;7498
314294;1;11;2;92359
151379;4;11;1;91469
109395;3;32;3;18275
25588;3;8;1;23962
370883;1;32;1;4815
329029;5;20;2;31842
334043;3;23;5;20775
390628;2;29;2;30982
287860;3;10;2;20908
309424;6;43;4;11846
209246;1;39;2;25342
534620;2;9;3;19715
191991;6;29;2;17467
299210;2;32;4;18199
266435;5;32;1;2128
484202;4;7;2;28205
189964;7;31;2;76504
96863;4;2;1;7528
505984;6;10;1;16224
292310;1;9;1;18189
441376;3;9;2;23176
125150;6;19;2;30202
28699;6;9;1;19977
521774;5;34;1;5883
418238;2;7;2;84258
425323;7;23;4;20772
393117;3;30;1;30968
482835;1;9;2;19686
316103;4;32;3;18520
526505;1;38;2;25003
387029;7;32;2;17372
460363;3;35;2;14855
159579;7;1;1;7254
320429;2;29;3;33344
327829;5;1;1;7081
549916;7;23;3;21152
227645;5;19;1;29233
231653;7;9;1;20708
398434;4;37;1;14782
82240;5;35;1;17876
13171;5;30;2;30858
228869;1;32;1;2688
197656;4;1;1;7010
171979;7;1;1;7192
376560;1;31;4;18214
530258;3;9;2;19578
392395;2;23;6;20895
174665;2;40;1;17531
173538;5;31;5;18575
495191;1;43;2;11929
109544;2;23;5;20343
350975;6;32;2;19102
176919;7;39;1;24775
209264;4;42;4;11528
171652;3;9;2;20645
275328;1;2;1;7404
273161;3;32;4;18239
295843;2;33;1;3035
133987;7;2;4;76032
35596;5;11;2;14651
84771;4;35;2;18639
5256;3;14;2;5720
404384;3;22;3;23121
159984;4;31;1;76355
153508;1;9;1;18626
194797;7;31;4;18332
515137;1;23;5;20440
475510;3;32;1;77238
187187;1;33;2;18251
379537;7;30;1;30843
243947;5;22;3;23951
284481;6;21;3;24093
321672;2;1;1;7265
18513;2;9;1;21955
63301;6;8;2;27178
188709;2;11;2;13315
462524;2;16;2;4381
32027;7;19;2;31995
314109;6;18;2;7659
83170;6;1;1;7300
380738;2;18;2;6551
155359;2;1;1;7263
26193;5;27;2;18924
523519;7;31;4;18323
549376;4;33;2;18591
533994;3;38;3;25224
201245;2;2;1;7584
456437;7;2;1;8087
258687;6;38;2;24798
73856;5;31;2;76453
328123;6;23;2;17707
161071;1;2;1;7646
448304;2;8;1;19998
353305;1;11;1;88911
24056;7;8;2;22439
216110;7;31;3;18550
263674;4;35;3;20040
292284;4;1;1;7296
305239;2;20;3;9489
439651;7;1;1;7111
394652;2;32;1;24180
279545;6;22;2;21800
432854;3;32;5;18542
521142;5;9;2;19234
516754;1;9;1;20462
389562;2;32;4;18370
80188;1;17;2;7745
20928;7;30;2;77558
535079;7;29;1;31407
298862;4;31;4;18684
461885;3;39;3;25506
177250;7;32;2;17828
198310;3;24;2;20438
124298;6;30;1;77139
471850;4;34;4;19335
231607;2;31;1;76771
27605;5;20;1;29820
151378;5;32;6;18093
354069;5;32;2;17920
400706;1;39;1;26008
246696;1;29;1;31520
491912;5;10;1;20280
145514;5;21;2;9418
137497;1;31;2;80495
492924;6;31;1;76833
210737;7;2;1;7548
129294;4;39;4;25546
518609;4;6;1;10935
379277;3;1;1;7399
186137;1;34;4;19166
151398;6;4;3;30735
423643;5;32;1;21893
357428;3;31;1;29489
494315;5;8;1;12351
519475;4;30;2;77492
519855;1;44;2;10202
505828;2;26;3;16873
387749;5;1;1;7408
230927;7;8;2;23451
196630;2;32;1;17985
86639;5;31;2;17809
363694;2;19;2;29598
527388;6;1;1;7007
504309;6;41;2;14001
320029;7;31;3;18445
504359;6;33;2;28783
119085;1;2;1;7666
266566;7;41;1;12242
43857;7;9;1;22228
299355;2;41;3;12148
425214;7;30;2;30856
107604;1;9;1;20769
281002;6;29;4;30681
305259;6;28;1;14891
-2119;6;28;2;81231
217530;1;33;2;72027
551896;4;22;6;24183
138668;5;9;1;12423
297996;5;23;2;17224
158570;1;32;1;2542
43150;5;23;2;18292
342678;1;6;1;10413
182975;3;10;1;13776
546384;6;32;3;17721
299509;7;29;3;30928
222025;6;32;4;18540
371099;1;31;4;18399
494401;2;2;1;8108
195633;4;31;2;18279
126522;3;1;1;7368
351449;2;20;1;28352
536024;3;30;3;31372
360928;5;20;1;30490
508654;7;1;1;7189
178606;5;43;3;11606
206677;7;30;2;30971
24339;2;30;1;30895
291727;3;30;1;31424
371156;4;39;1;25186
204941;3;29;3;30892
518747;4;9;2;19988
503336;1;39;2;24787
456509;2;32;4;18218
254972;7;8;2;21008
161572;1;39;1;25283
495244;6;19;1;32072
255161;7;43;3;11479
241418;4;43;2;12049
54691;7;38;3;24412
476502;4;34;2;71262
85814;1;31;7;18864
325804;6;26;2;20249
500789;7;9;2;22077
232139;3;9;3;20777
496948;4;32;2;17859
138368;5;32;4;2150
115833;2;33;3;32492
131916;2;30;1;30923
228852;7;19;2;26906
393178;1;9;3;20364
552438;7;23;6;19690
69681;2;19;1;29080
479414;7;37;1;25685
537893;1;15;2;39020
512697;1;31;2;18788
500826;4;9;2;23690
332838;6;33;3;28085
264296;7;8;1;22534
403368;3;23;3;19439
151407;3;31;2;76817
142642;4;23;5;18718
459479;1;43;1;11615
246649;3;30;1;31217
530540;2;30;2;80703
201337;2;31;2;77765
168598;7;23;4;20537
438412;3;17;2;9604
499841;5;6;1;29124
515642;5;35;1;17742
533366;4;39;1;25218
98807;1;31;2;76726
430043;1;22;3;21817
247721;6;25;1;89036
186327;7;39;1;24645
375611;4;20;1;28362
229348;3;4;1;9716
496801;1;11;1;89664
66319;7;9;2;20223
316264;1;31;7;19093
218953;3;9;2;19714
313608;1;23;2;16728
265982;2;30;1;31133
107152;6;42;1;18468
461870;1;32;5;18305
518969;1;29;4;36240
176435;7;2;1;7804
315644;1;5;1;10367
249076;4;43;3;11672
460515;4;34;2;18431
519773;6;29;2;30964
296869;3;1;1;7476
191397;3;42;2;13187
194707;2;31;1;76612
309718;2;35;5;6267
294668;1;28;2;19011
339950;7;30;2;30770
236294;6;41;1;15871
260452;4;30;2;79857
63763;2;22;4;22737
306020;7;1;1;7344
264817;7;2;1;7480
323462;4;37;5;43349
533115;2;10;2;19280
199833;7;23;6;21062
327529;4;29;2;18281
156822;4;30;1;18852
103806;2;39;3;24975
228690;6;32;1;2534
506644;3;2;1;7562
430669;4;43;3;12019
249292;2;26;1;21403
445927;1;31;5;18835
511697;3;34;2;41950
36267;7;26;3;19215
446328;1;21;2;22761
251132;1;30;1;30774
198745;2;39;1;24809
229747;7;2;1;7532
422378;5;32;4;17660
122400;1;32;1;2417
54894;3;36;6;5779
501119;5;35;2;17181
288353;7;36;1;26627
198583;2;33;1;4718
389183;3;43;2;12583
150041;4;32;1;75767
202705;1;9;1;19758
548633;4;23;6;21642
510561;7;9;1;13911
198627;4;32;1;2693
64669;6;31;2;76822
300469;5;29;1;15177
86261;2;29;4;31011
503812;5;9;1;19893
201336;1;20;2;29871
537783;7;32;2;17863
462425;2;7;1;26260
439149;2;19;3;34377
191695;6;32;2;75733
253877;3;2;1;7571
299704;7;1;1;6997
237737;5;9;2;20281
70020;5;39;1;16170
529805;4;3;1;8988
478136;5;31;1;28072
258300;6;11;2;89680
530478;2;9;2;19704
547590;4;23;6;19726
240378;4;43;3;11525
460676;3;1;1;7429
379540;5;33;1;17933
541046;3;8;2;22960
283841;7;5;1;10455
218331;3;29;2;79876
538412;7;12;2;11817
367583;1;2;1;8349
341863;2;42;3;11912
363129;7;32;3;17859
254979;6;30;1;18516
261098;1;32;1;2492
203200;2;28;2;19184
183458;2;22;1;22796
314396;7;21;2;24988
335431;5;22;3;25499
258864;1;22;2;23991
250133;5;4;1;9560
96949;3;9;1;20830
180020;6;42;1;11810
87381;4;31;4;18491
350747;4;26;2;88074
307552;4;10;1;18119
96437;3;9;2;19775
343826;2;1;1;7257
-12469;3;17;2;34963
432929;2;32;4;1922
20184;3;12;2;12108
507033;4;4;1;9773
386619;4;19;1;30254
177147;6;20;2;8970
172865;4;31;1;17679
295888;2;26;2;19729
462781;3;30;1;30302
153288;7;1;1;7315
441788;5;1;1;7087
-1238;5;10;2;14989
499815;1;34;2;81583
230484;6;39;2;24921
92042;4;22;6;22659
445360;5;23;6;19782
511978;7;30;3;30823
349320;2;33;1;3308
207596;4;34;1;12109
303929;6;30;1;31063
526946;7;19;1;30312
432366;1;29;3;30835
393290;5;30;1;30694
143432;2;1;1;7320
512454;6;38;3;24691
373831;4;21;2;9935
149431;6;30;2;30806
384403;7;24;2;32312
179423;5;1;1;7336
529610;5;10;2;20898
156033;7;1;1;7051
108603;5;1;1;7187
411639;1;12;2;11899
238275;3;32;1;20386
453454;4;32;1;2803
469084;1;39;2;25250
71229;1;34;3;86569
531862;5;20;2;28504
433303;5;23;2;19105
449070;3;32;2;23381
268659;6;39;1;25370
145025;5;2;1;7790
525740;4;31;2;18029
359622;6;20;1;28316
369946;4;1;1;7352
180480;1;37;2;13565
44862;5;23;3;19271
203794;4;39;1;24993
196166;7;1;1;7035
456509;1;33;4;18024
493106;5;8;1;10168
469123;7;30;2;30892
240946;1;13;2;7184
514502;6;18;1;33596
368370;6;9;1;19205
549872;5;28;1;31526
138691;5;43;2;11395
60529;7;30;1;31318
32000;7;23;4;21051
492176;1;31;4;18533
149885;6;23;3;21138
68270;7;9;1;22144
193584;4;20;2;10306
74103;5;31;3;18040
104222;6;35;2;18721
523537;3;11;2;10897
41019;3;21;2;95401
495173;4;9;1;20882
162560;2;34;4;17853
107529;1;42;6;11262
466833;5;40;1;12728
353387;7;30;2;30238
207605;2;31;5;18425
520930;4;2;1;7566
544754;2;23;6;19382
520808;3;7;2;27770
251977;6;43;2;11931
448238;6;31;1;76834
23419;3;11;2;15896
325938;1;31;2;76781
272454;1;2;1;7476
216665;1;6;1;28774
19803;6;29;1;31139
473984;6;35;2;82374
383012;1;33;1;77829
287291;2;31;4;18309
28711;2;23;4;20429
499374;6;32;2;17077
332739;1;32;1;1993
513418;1;1;1;7032
446430;7;10;2;19042
503019;1;27;2;85500
507774;6;30;3;30005
476540;4;31;5;18596
440340;6;39;1;25033
473348;7;20;2;9294
358468;7;33;1;3176
89316;3;22;5;21809
182254;4;32;1;2386
345520;1;37;1;19503
128576;1;31;5;22147
69983;7;29;3;30866
414222;6;41;2;13516
419881;4;19;2;8440
542205;5;32;1;1981
211662;3;31;1;76737
379301;5;5;1;10384
146763;5;43;4;11893
124582;2;2;1;7685
326811;4;23;4;20135
473461;4;39;3;24825
516734;7;17;1;37793
279956;4;43;1;11394
294340;5;31;1;76720
257361;2;33;2;82510
450393;1;18;2;30000
47471;3;20;3;19625
537059;7;10;3;19468
530043;6;23;4;20461
170146;1;23;5;20227
427187;3;27;2;35964
196762;2;33;1;1836
17548;6;20;2;29308
191795;5;8;1;20841
112524;1;30;2;30856
49325;4;32;7;1800
120250;1;34;6;20467
379482;3;39;1;25071
541550;5;31;3;18282
545699;1;23;4;21406
298809;2;43;1;11740
263677;5;21;3;19603
502034;1;8;1;22409
131667;2;2;1;7731
75387;2;8;1;23413
48013;1;2;1;7737
496064;4;19;3;29513
517023;5;32;4;17955
349257;2;3;1;8587
62604;5;30;2;18044
502505;7;10;2;19326
196556;1;1;1;7470
109378;7;9;1;20871
291322;6;20;2;29838
554448;7;23;6;21099
391677;7;9;1;21080
276451;1;36;4;5948
326492;4;37;3;25726
484194;7;9;1;20383
217807;1;9;2;20290
206393;4;10;1;90886
242987;5;4;1;9398
316783;2;1;1;7348
523957;4;9;1;13251
482320;7;31;4;17571
6455;1;17;2;6539
271378;3;9;1;21532
93670;5;2;1;7477
266686;3;19;3;11159
83386;1;22;3;9248
512562;6;29;4;30868
270336;4;11;2;89680
173663;5;31;7;18044
241249;7;38;2;24729
513658;1;34;1;9155
215949;2;9;1;20896
397918;3;30;1;30665
496432;2;35;3;17039
89277;2;33;6;3766
147929;3;32;1;4911
227354;1;41;4;12445
162313;1;43;3;11678
137232;3;31;4;18504
310497;2;44;7;9735
270321;5;36;4;20538
170293;5;33;4;34690
303119;6;17;2;9330
464168;6;21;4;28121
27663;3;37;2;25471
81305;6;35;1;17402
172738;5;23;2;18829
79034;1;27;2;18219
99184;7;32;3;18047
528826;7;1;1;7003
76143;7;39;1;24842
324431;3;1;1;7201
425096;3;18;2;7691
219820;4;37;1;22219
512492;5;9;3;19322
238630;2;39;1;17320
555460;3;23;3;21209
536139;4;19;2;31256
361149;7;30;2;30771
101280;3;1;1;7192
507423;4;2;1;7663
250442;3;33;1;18399
298269;5;31;2;78065
381220;1;8;4;25396
472793;3;39;2;25084
125857;3;32;3;18197
416742;1;31;4;18440
221781;6;30;1;30731
393120;7;38;3;8517
430077;7;30;3;31086
10520;7;18;2;7518
184232;2;30;4;30954
533283;7;39;2;25086
510209;1;26;1;13554
570014;3;38;1;23673
281083;4;39;3;25058
106503;7;20;2;30140
117927;6;34;5;18373
107344;3;34;5;19066
30466;1;30;2;31028
360354;1;31;2;77090
455020;3;31;1;77151
14952;4;20;1;30826
104837;4;9;2;22637
286158;7;12;2;9804
67008;7;33;1;4199
208215;4;31;3;18217
-2641;1;30;1;76942
41437;7;12;1;26269
456488;6;29;5;30701
32378;2;34;1;23946
194154;1;32;3;18637
356538;5;23;4;19426
401559;4;40;3;13808
350252;7;32;7;18380
280773;7;19;2;7323
525189;1;18;2;30101
203712;1;9;2;12464
441929;7;9;3;19625
76877;7;22;5;25070
220637;4;31;2;77574
505493;3;35;2;18841
454906;1;31;2;77228
239059;5;32;1;2547
508643;7;35;2;17631
244651;4;22;5;21683
318327;2;41;2;14775
365128;4;1;1;7149
459475;1;30;1;30852
47425;4;32;1;29720
265699;2;16;2;6120
308167;3;32;1;3175
488601;5;25;1;18046
399438;7;9;2;19347
195900;1;2;1;7709
408186;1;22;3;22668
413922;1;31;4;18920
476192;2;31;2;76883
351326;5;10;2;18904
63783;4;38;2;25017
317062;1;10;2;19044
111736;5;43;2;10998
143800;4;32;1;2928
107642;3;39;3;73173
377525;2;23;5;19655
105229;7;32;3;18525
77524;5;9;3;20809
39185;5;23;4;19742
112967;6;43;1;11665
151903;3;38;1;25107
129602;4;31;6;18269
418567;7;32;4;18492
452543;6;32;3;2080
197338;6;23;7;21401
114833;6;34;2;17460
364808;6;9;2;20545
531714;3;11;2;12666
59328;5;36;5;15932
129366;1;34;1;20537
128215;3;32;4;18640
547789;3;23;2;23555
136395;2;1;1;7467
269742;3;23;4;19909
104962;7;9;1;11104
429869;3;30;1;30727
511128;2;19;2;9278
336919;6;23;5;18886
301850;4;39;1;25189
373468;4;32;3;18365
132814;2;9;1;12976
556195;5;23;4;19649
559054;4;32;2;17309
501998;7;9;2;19054
554198;4;20;2;29900
204700;2;38;4;25036
295583;4;8;1;23073
496891;6;32;4;18187
425178;4;31;3;18023
246318;1;9;2;21877
471560;1;9;1;19571
538775;7;22;6;21919
476826;7;4;1;9273
139423;1;34;5;18275
504418;5;4;3;31001
431127;2;30;2;80839
411002;3;43;2;11350
399865;1;31;3;18667
309178;3;8;1;20388
322617;1;39;1;24927
198439;5;29;1;31196
214341;6;4;1;9308
389289;5;29;2;31000
137826;3;14;2;5648
420439;2;9;2;19612
437954;6;35;1;17918
271702;7;39;1;24821
71425;5;9;2;19568
321512;2;9;2;19462
317614;3;34;5;17934
62196;1;16;2;7673
221656;1;34;1;28112
173858;3;26;1;27942
201246;2;35;3;18556
17013;5;23;3;21228
163668;5;32;1;17536
321843;4;27;3;18626
23890;5;30;1;30181
94545;7;35;2;17036
62715;6;39;1;25315
101928;1;32;1;30253
218852;3;24;1;91735
529441;5;26;2;87861
260424;1;19;2;8382
395728;2;1;1;7313
5211;3;18;2;35002
271169;4;31;2;77590
11502;5;20;2;29861
213217;7;37;1;26286
304046;7;30;1;30969
294056;1;2;1;7434
391095;1;9;2;20263
442359;2;31;1;77202
117067;1;14;5;23814
26903;7;25;3;15506
358116;5;10;2;19326
423204;2;30;2;30995
6197;3;19;2;33805
202689;3;10;2;16892
527449;5;30;1;30931
367335;3;29;2;31007
302356;6;19;1;32677
525830;6;39;2;25023
198370;3;41;6;72136
78524;7;34;1;25559
106417;1;34;2;16878
94507;2;22;2;20508
326788;4;21;2;26231
174457;2;43;1;12224
135027;3;9;1;20699
385760;5;23;2;17928
78199;3;32;1;3423
114957;4;32;2;18444
233322;6;34;1;28746
373873;7;1;1;7092
84392;2;1;1;7384
8845;1;23;3;18901
345198;4;3;2;32414
76589;6;31;2;17811
42690;2;23;6;19604
521948;7;31;2;17410
346289;4;39;1;16395
51812;3;37;6;12382
178966;3;8;1;20625
504716;2;1;1;7358
315658;3;17;2;10805
161706;3;36;7;16784
69189;6;21;1;26821
96809;4;35;2;17906
499300;1;4;2;31512
491509;3;19;2;9082
144780;3;18;3;9788
74836;5;8;1;21726
217696;6;39;5;15063
156971;4;32;2;18387
484132;4;31;2;17815
507838;3;26;3;20850
223124;4;30;1;31213
195835;1;19;2;8629
407146;4;19;3;34343
230559;3;30;1;31261
90971;3;35;2;17596
396393;6;32;4;17931
527542;3;23;5;20529
22908;5;23;2;19195
81335;6;31;2;76974
205847;2;33;1;77627
403503;3;38;2;25106
525414;3;15;2;3584
323165;1;32;2;78220
94129;5;31;2;30153
320738;7;43;2;11531
545530;4;32;4;18071
407232;3;17;1;38126
288825;7;2;1;7825
131969;1;40;1;21195
189813;3;21;2;24559
539482;6;21;3;25823
17354;5;20;1;29888
542941;5;19;1;27821
128510;2;43;3;11830
488285;3;31;1;17743
186882;1;38;4;96876
240198;3;32;4;18058
67337;4;10;1;89446
392653;1;2;1;7680
408063;1;12;1;90104
147576;1;43;2;12063
191662;2;30;1;30998
266921;2;19;2;29795
389727;5;19;3;29399
248261;5;32;1;2058
82598;1;31;1;5193
6606;6;30;2;30863
471222;1;31;2;76578
317744;6;23;4;18923
228903;5;31;1;18205
164878;7;41;2;22326
272146;5;3;1;8426
360188;1;32;1;2747
243011;3;14;2;3722
261625;3;34;6;19748
38200;5;19;1;31435
503912;5;1;1;7300
326744;1;31;1;76868
466880;5;8;1;20319
452455;3;28;2;84627
309971;5;30;2;31162
102062;4;31;2;18134
83099;5;9;1;20164
553682;5;18;1;35828
264532;7;22;6;22318
289161;3;32;1;76952
545756;2;8;2;22267
499676;5;32;1;27957
489041;6;31;5;18409
297146;2;11;1;90645
455195;2;1;1;7465
338418;1;14;2;34182
531492;5;32;2;18191
322184;4;1;1;7426
534188;3;32;2;3607
312043;2;31;4;18076
555726;4;22;6;23865
58262;2;30;3;30830
219087;1;31;1;76925
484122;7;32;3;18069
87378;5;39;2;24990
306190;5;13;2;10913
446078;3;10;3;19035
97672;2;10;2;87575
474823;5;33;3;28094
182094;7;32;3;17814
291999;5;10;2;19601
390951;7;9;2;19817
341988;3;39;1;25154
491439;1;11;2;12200
481158;7;32;3;17933
243045;7;9;2;19840
501803;7;33;1;2571
147760;4;17;1;27737
385864;4;23;5;20302
40190;3;20;1;29572
307788;7;23;6;19906
138057;1;2;1;7525
147607;7;19;2;8037
86490;5;24;1;90797
63686;3;2;1;7556
232994;3;31;5;18313
88410;7;32;2;17734
39375;2;29;2;15640
273097;6;4;1;9206
157580;3;21;3;25243
545820;5;39;1;25264
333273;4;2;1;7508
381932;2;20;3;28707
518563;3;8;1;22263
429830;3;31;1;76887
313048;2;43;1;11974
285439;3;32;1;2480
194167;1;23;5;19063
511138;5;31;1;17572
107423;7;31;4;18359
408111;1;18;1;32802
522524;7;9;2;20331
379779;1;17;1;36671
367706;1;8;1;12056
186153;4;37;7;60982
482867;4;32;3;28896
255822;1;41;1;16330
341294;6;10;2;87280
174744;2;31;3;17575
122881;5;42;1;12882
234650;6;20;2;8929
279996;6;1;1;7030
333939;5;32;2;76225
257178;7;34;2;27201
231993;7;42;7;10442
74014;5;21;5;23159
352949;7;25;1;12904
522094;7;10;2;20482
100752;4;19;2;8712
288304;7;9;1;20740
481077;2;31;5;18529
463811;4;32;4;18030
125182;1;34;2;19134
226606;4;1;1;7257
388122;1;2;1;8051
164294;7;32;1;2785
29329;5;18;3;7941
154832;1;33;3;2888
192541;1;-2;3;84216
410839;7;18;1;37195
476840;1;23;2;20214
64156;4;9;2;20429
493917;2;13;1;8779
95639;5;31;3;18195
505810;1;9;2;19670
215432;5;29;3;30872
506785;2;33;1;4892
135918;2;44;3;10883
63731;4;3;3;81702
37004;6;19;2;8685
105694;2;31;5;18726
217377;3;9;1;19817
261935;5;9;2;20230
154393;7;30;3;30174
522605;1;43;1;11347
88803;4;36;1;18688
406688;3;32;1;2189
22444;3;31;2;76429
110129;6;40;1;90233
208703;2;13;2;8832
526184;6;19;1;32353
75773;2;9;1;20378
174710;1;31;1;18743
292933;3;20;1;29058
461089;3;31;2;18081
78846;7;31;1;76930
189453;5;31;5;18000
266068;1;23;5;19911
160836;1;23;3;18038
486473;5;30;4;18920
213070;3;24;2;90927
362355;6;29;4;33816
20083;7;30;1;30136
546004;5;9;2;21146
166499;2;29;1;31213
86610;4;2;1;7682
474049;2;39;3;25074
483484;1;37;1;21383
57313;6;10;2;19311
539927;5;24;5;18981
108387;3;12;2;9700
181979;1;9;2;20042
148087;1;20;1;30049
261418;3;23;4;18560
182105;1;23;5;17993
127381;2;32;6;19821
295705;2;32;1;2225
283912;3;1;1;7373
517226;6;32;1;2416
263331;2;10;2;19758
6789;7;23;3;18206
70170;2;9;2;21921
74161;2;29;2;81424
221230;1;13;2;6916
210220;2;33;1;3106
342085;5;32;2;2376
108683;1;31;1;76711
276957;4;11;2;90516
221346;7;43;3;11707
67717;7;30;1;31037
112588;7;32;3;18099
389163;5;9;2;19748
28676;3;19;2;30806
554982;2;23;4;16964
393052;7;10;1;12834
61034;3;31;7;18402
98068;4;36;1;79182
63865;4;9;1;20735
473077;2;8;1;21528
521716;4;1;1;7271
322367;3;20;1;28384
478405;4;10;2;20092
195158;7;27;2;18886
224642;1;31;2;18091
270253;6;29;2;34210
509265;5;30;4;30363
494066;4;9;1;19563
278492;3;18;2;33849
158105;6;10;1;85817
426393;7;27;1;13464
478036;1;34;2;18838
62895;3;23;4;20809
336631;1;31;1;2194
205477;2;39;1;7985
168978;5;30;1;31151
332902;2;21;1;28779
19238;3;22;2;22413
272451;2;23;4;20506
228304;1;31;1;77245
521045;5;32;3;18095
207409;6;22;3;22910
12394;3;30;2;31151
484766;1;2;1;7357
137347;7;29;1;84973
160006;5;33;5;18206
546828;3;30;2;31332
333322;5;20;1;29937
